Title,Author,SE subject,Artist,Painting,Producer,Pub date,Rev date,Description
"Red House Mystery, The","Milne, A. A.",Fiction,Pieter Gerardus van Os,The Canal at ’s-Graveland,"Atkinson, Michael",2019-11-04,2019-11-04,An amateur sleuth visiting a country house solves the mystery of who shot the man in the locked room.
"Moon Pool, The","Merritt, A.",Science Fiction,Ralph Albert Blakelock,Brook by Moonlight,"Cabal, Alex",2016-09-30,2016-09-30,"A group of adventurers search for their friends, who were lost while exploring the otherworldly secrets of a monument discovered on a chain of island ruins."
"Wealth of Nations, The","Smith, Adam",Philosophy,Canaletto,The Bacino di San Marco from San Giorgio Maggiore,"Cabal, Alex",2021-10-05,2021-10-05,Adam Smith lays the foundation of classical economics.
Fables,Aesop,Shorts,Frans Snyders,The Fox Visiting the Heron,"Whittleton, Robin",2018-07-22,2018-07-22,Aesop’s classic Fables of behaviour and consequence.
Poirot Investigates,"Christie, Agatha",Shorts,Julian Alden Weir,The Letter,"Likar, Matic",2020-03-17,2020-03-17,Poirot and his companion Hastings investigate and solve a series of mysteries.
"Man in the Brown Suit, The","Christie, Agatha",Mystery,Georges-Victor Hugo,Victor Hugo descendant de son cabinet de travail à Hauteville House,"Atwood, Peter",2020-07-21,2020-07-21,Anne Beddingfeld travels to South Africa after finding a cryptic note beside the body of a man whose death she witnessed in the London Underground.
"Murder on the Links, The","Christie, Agatha",Mystery,Édouard Manet,The Brioche,"Cabal, Alex",2019-02-10,2019-02-10,The famous detective Poirot and his sidekick Hastings are summoned to France to investigate the mysterious murder of a rich businessman.
"Mysterious Affair at Styles, The","Christie, Agatha",Mystery,Jean-Étienne Liotard,Still Life: Tea Set,"Cabal, Alex",2014-05-25,2014-05-25,Hercule Poirot solves the mystery of a murder in an English country manor.
"Secret Adversary, The","Christie, Agatha",Mystery,Norman Wilkinson,The Adriatic at Cherbourg,"Cabal, Alex",2017-03-15,2017-03-15,"Tommy and Tuppence try to solve a mystery, only to find themselves embroiled in schemes of murder, millionaires, and diplomats."
"Jade God, The","Sullivan, Alan",Mystery,Edvard Munch,The Girl by the Window,"Bystricky, Lukas",2021-10-10,2021-10-10,"Two years after a mysterious murder, a brother and sister move into a countryside manor and begin to notice strange occurrences."
Antic Hay,"Huxley, Aldous",Fiction,Ferdinand Hodler,"James Vibert, Sculptor","Whittleton, Robin",2019-12-11,2019-12-11,A group of 1920s London socialites struggle with their futures.
Crome Yellow,"Huxley, Aldous",Satire,Cecilia C. Foster,View of the Long Gallery at Aston Hall,"Luke, James",2021-04-28,2021-04-28,A young writer travels to an English countryside manor to spend the summer alongside a cast of outlandish leisure class intellectuals.
Short Fiction,"Kuprin, Aleksandr",Shorts,Boris Grigoriev,The Harlot of Marseilles,"Whittleton, Robin",2021-10-11,2021-10-11,"A collection of Aleksandr Kuprin’s translated short stories, ordered by date of publication."
"Duel, The","Kuprin, Aleksandr",Fiction,Ilya Repin,Portrait of Jelizaveta Zvantseva,"Whittleton, Robin",2019-08-12,2019-08-12,A Russian officer battles disillusionment and unrequited love.
Yama,"Kuprin, Aleksandr",Fiction,Edvard Munch,Vampire,"Whittleton, Robin",2020-12-21,2020-12-21,An account of the lives of a group of prostitutes in a brothel in southern Russia.
"Federalist Papers, The",,Nonfiction,,Scene at the Signing of the Constitution of the United States,"Rice, Vince",2021-04-20,2021-04-20,Eighty-five articles written by a group of U.S. Founding Fathers on why the proposed U.S. Constitution should be approved.
Eugene Onegin,"Pushkin, Alexander",Poetry,Caspar David Friedrich,Two Men Contemplating the Moon,"Whittleton, Robin",2020-03-24,2020-03-24,A jaded Russian fop’s disdain for the world catches up with him.
"Black Tulip, The","Dumas, Alexandre",Fiction,Hans Bollongier,Floral Still Life,"Whittleton, Robin",2018-05-11,2018-05-11,An unjustly imprisoned man longs after both his love and his tulips.
"Count of Monte Cristo, The","Dumas, Alexandre",Fiction,Willem van de Velde the Younger,The Cannon Shot,"Rice, Vince",2021-02-11,2021-02-11,A man seeks revenge for having been falsely imprisoned years earlier.
"Three Musketeers, The","Dumas, Alexandre",Fiction,Rembrandt van Rijn,The Night Watch,"Atkinson, Michael",2019-12-09,2019-12-09,A young Gascon moves to Paris to join the King’s Musketeers where he starts to investigate the kidnapping of his landlord’s wife.
Idylls of the King,"Tennyson, Alfred",Poetry,Edmund Blair Leighton,God-Speed,"Cabal, Alex",2014-05-25,2014-05-25,Twelve poems detailing the adventures of Arthur’s round table.
Short Fiction,"Budrys, Algis",Shorts,Umberto Boccioni,The Strengths of a Street,"Cabal, Alex",2015-11-07,2015-11-07,Seven science fiction short stories by author Algis Budrys.
"Devil’s Dictionary, The","Bierce, Ambrose",Satire,Louis Candide Boulanger,La Ronde du Sabbat,"Mastracci, Matt",2021-03-16,2021-03-16,"A witty, sharp collection of sardonic word definitions from the 1800s and early 1900s that provide a snapshot into the irreverent humor of early American culture."
Penguin Island,"France, Anatole",Satire,Henry Stacy-Marks,Dominicans in Feathers,"Cheng, Weijia",2020-10-04,2020-10-04,"A myopic saint mistakenly baptizes some penguins, ushering in a centuries-spanning satire of French history."
Plague Ship,"Norton, Andre",Science Fiction,Luigi Russolo,Dynamism of an Automobile,"Gingras, Molly",2020-02-26,2020-02-26,"When the rest of their crew falls mysteriously ill after a trading mission, four low-ranking crew members must save their ship from being condemned to drift forever in permanent quarantine."
Star Born,"Norton, Andre",Science Fiction,Umberto Boccioni,Dinamismo Di Un Ciclista,"Grosse, Josh",2019-11-24,2019-11-24,Two human protagonists find themselves on opposite sides of an inter-species war.
Star Hunter,"Norton, Andre",Science Fiction,Umberto Boccioni,States of Mind: Those Who Go,"Flynn, Peter",2018-10-09,2018-10-09,"On the unexplored jungle world of Jumala the sole survivor of a spaceship crash is heir to a fortune, or has been made to believe so."
"Time Traders, The","Norton, Andre",Science Fiction,Franz Marc,Tierschicksale,"Chapman, Tucker",2020-06-26,2020-06-26,A young criminal volunteers for a government project at a secret base.
Voodoo Planet,"Norton, Andre",Science Fiction,Umberto Boccioni,Materia,"Flynn, Peter",2018-09-17,2018-09-17,Dane Thorson travels to the safari planet Khatka and encounters an evil witch doctor.
"Popular Schoolgirl, A","Brazil, Angela",Fiction,Pierre-Auguste Renoir,Luncheon of the Boating Party,"Whittleton, Robin",2019-11-28,2019-11-28,A schoolgirl navigates a difficult year after a new girl has inadvertently assumed her mantle.
"Sicilian Romance, A","Radcliffe, Ann",Fiction,Théodore Gericault,Evening: Landscape with an Aqueduct,"Laws, Samuel",2021-07-28,2021-07-28,Two beautiful sisters are forced to live under the control of their tyrannical nobleman father.
Black Beauty,"Sewell, Anna",Fiction,Anthony Oberman,Adriaan van der Hoop’s Trotter “De Vlugge” (The Fast One) in a Meadow,"Klappenbach, Laura",2019-11-27,2019-11-27,A memoir narrated by a horse whose idyllic time on an English farm prepares him for a life filled with constant change and varied circumstances.
"Tenant of Wildfell Hall, The","Brontë, Anne",Fiction,Kate Bisschop-Swift,Widow of a Painter,"Grigg, David",2020-02-18,2020-02-18,"When a mysterious young widow arrives in a small rural area, gossip blackens her name before her true story is eventually discovered by a male admirer."
Beowulf,Anonymous,Poetry,Knud Baade,Scene from the Era of Norwegian Sagas,"Sweeney, Emma",2019-12-01,2019-12-01,A hero is hired to kill a monster that has been plaguing the land.
"Nibelungenlied, The",Anonymous,Poetry,Peter Nicolai Arbo,Valkyrie,"Sweeney, Emma",2021-04-02,2021-04-02,"The epic poem that follows the legendary hero Siegfried on his adventures, his death, and his wife’s revenge."
"Prisoner of Zenda, The","Hope, Anthony",Fiction,Claude Lorrain,View of La Crescenza,"Keith, B. Timothy",2018-12-18,2018-12-18,"The tale of Rudolph Rassendyll, near twin of King Rudolph V of Ruritania, who, in order to save the day, must take the king’s place after he is drugged and abducted."
Barchester Towers,"Trollope, Anthony",Fiction,Benjamin Williams Leader,Worcester Cathedral,"Grigg, David",2018-02-02,2018-02-02,The affections of a young widow are at play while rival clerical factions contend for control over church matters in the cathedral city of Barchester.
Doctor Thorne,"Trollope, Anthony",Fiction,Samuel Luke Fildes,The Doctor,"Grigg, David",2021-09-19,2021-09-19,A provincial doctor struggles to assist his illegitimately-born niece in achieving a place in local society.
Framley Parsonage,"Trollope, Anthony",Fiction,John Buxton Knight,Pinner Street,"Grigg, David",2021-11-23,2021-11-23,A young vicar with an aristocratic patron foolishly becomes mired in debt.
"Warden, The","Trollope, Anthony",Fiction,Hubert von Herkomer,Last Muster,"Grigg, David",2018-01-17,2018-01-17,"In a cathedral town in England, a minor cleric becomes involved in a dispute about the wardenship of a hospital for superannuated wool-carders, and suffers pangs of conscience."
"Way We Live Now, The","Trollope, Anthony",Fiction,Jan Van Beers,Portrait of a Gentleman,"Grigg, David",2019-06-13,2019-06-13,The rise of a business magnate with a suspicious background creates ripples among society and affects the fortunes of several young men and women in London.
Short Fiction,"Chekhov, Anton",Shorts,Osip Braz,Portrait of Anton Pavlovich Chekhov,"Cabal, Alex",2014-05-25,2014-05-25,A collection of Chekhov’s short stories and novellas ordered by date of publication.
"Duel, The","Chekhov, Anton",Fiction,Ilya Repin,Eugene Onegin and Vladimir Lensky’s Duel,"Cabal, Alex",2015-06-08,2015-06-08,"Von Koren, an educated zoologist, finds the slovenly lifestyle of Laevsky, a drinker, to be worthless. Finally, Laevsky can’t take it any more."
Three Sisters,"Chekhov, Anton",Drama,Gerard ter Borch,Curiosity,"Smith, Asher",2021-04-07,2021-04-07,Three sisters long to escape their provincial town and return to Moscow.
"Worst Journey in the World, The","Cherry-Garrard, Apsley",Travel,Caspar David Friedrich,Das Eismeer,"Cabal, Alex",2014-05-25,2014-05-25,The travelogue of a member of Robert Scott’s ill-fated Antarctic expedition of 1910.
Nicomachean Ethics,Aristotle,Philosophy,Raphael,The School of Athens,"Gross, David M.",2018-12-03,2018-12-03,"Aristotle examines how one may live in the most thriving, excellent manner."
"Grand Babylon Hotel, The","Bennett, Arnold",Fiction,William Orpen,"Le Chef de l’Hôtel Chatham, Paris","Whittleton, Robin",2018-07-24,2018-07-24,An American millionaire’s spur-of-the-moment purchase of a hotel leads to the uncovering of a secret plot.
"Study in Scarlet, A","Doyle, Arthur Conan",Mystery,Briton Riviére,Lost or Strayed?,"Grigg, David",2018-04-06,2018-04-06,The self-declared world’s first consulting detective unravels a mysterious case of murder and revenge.
His Last Bow,"Doyle, Arthur Conan",Shorts,Arthur Hacker,Under the Dome,"Grigg, David",2018-09-15,2018-09-15,The world’s first consulting detective and his faithful biographer tackle more mysterious cases.
"Adventures of Sherlock Holmes, The","Doyle, Arthur Conan",Shorts,Thomas Eakins,Music,"Grigg, David",2018-05-08,2018-05-08,The world’s first consulting detective investigates a variety of intriguing cases in the first Holmes short story collection.
"Hound of the Baskervilles, The","Doyle, Arthur Conan",Mystery,Caspar David Friedrich,Riesengebirgslandschaft mit aufsteigendem Nebel,"Grigg, David",2017-12-26,2017-12-26,A famous detective investigates a mysterious and apparently supernatural threat to the heir of a wealthy Dartmoor estate.
"Lost World, The","Doyle, Arthur Conan",Fantasy,Charles R. Knight,Brontosaurus,"Cabal, Alex",2015-05-22,2015-05-22,A team of scientists and adventurers explores a prehistoric land.
"Memoirs of Sherlock Holmes, The","Doyle, Arthur Conan",Shorts,J. M. W. Turner,The Great Fall of the Reichenbach,"Grigg, David",2018-05-23,2018-05-23,"The world’s first consulting detective and his companion investigate further crimes and mysteries, culminating in a life-or-death struggle with an evil nemesis."
"Return of Sherlock Holmes, The","Doyle, Arthur Conan",Shorts,William Logsdail,St. Martin-in-the-Fields,"Grigg, David",2018-07-27,2018-07-27,"The world’s first consulting detective returns to London after having faked his death some years before, and investigates a series of baffling mysteries."
"Sign of the Four, The","Doyle, Arthur Conan",Mystery,Emile Claus,Rough Weather,"Grigg, David",2018-04-12,2018-04-12,An analytical detective is consulted by a young woman who has received a strange communication regarding her long-missing father and a mysterious treasure.
"Valley of Fear, The","Doyle, Arthur Conan",Mystery,Frank Wiles,The Valley of Fear,Anonymous,2019-09-23,2019-09-23,The final novel in Sir Arthur Conan Doyle’s Sherlock Holmes series follows the eponymous hero as he investigates a Sussex murder seemingly connected with a secret society.
Short Fiction,"Machen, Arthur",Shorts,Arnold Böcklin,Idyll (Pan Amidst Columns),"Cabal, Alex",2015-09-20,2015-09-20,A collection of nine short fiction works by influential supernatural and horror author Arthur Machen.
"Hill of Dreams, The","Machen, Arthur",Fiction,Leon Engers Kennedy,The Master Therion,"Whittleton, Robin",2019-10-30,2019-10-30,A young man’s visions lead him into the life of an author.
"Second Mrs. Tanqueray, The","Pinero, Arthur W.",Drama,Henri Fantin-Latour,Madame Lerolle,"Keith, B. Timothy",2019-03-14,2019-03-14,"A gentleman remarries a woman of questionable character and tries to redeem her, but her past revisits the family in unexpected and tragic ways."
"Inferno, The","Strindberg, August",Fiction,Christian Krohg,August Strindberg,"Whittleton, Robin",2018-03-20,2018-03-20,"A writer succumbing to mania tries to find a path out through occultism and religion, in Strindberg’s semi-autobiographical novel."
"Red Room, The","Strindberg, August",Fiction,Richard Bergh,Portrait of August Strindberg,"Whittleton, Robin",2017-07-07,2017-07-07,"A civil servant tired of bureaucracy quits his job to become a writer, and falls in with a group of artists and philosophers."
"General View of Positivism, A","Comte, Auguste",Philosophy,Jean Delville,Prométhée,"Cabal, Alex",2018-05-22,2018-05-22,A brief overview of the goals and methods of the Positivist philosophical movement.
"Outback Marriage, An","Paterson, Banjo",Fiction,Elioth Gruner,Spring Frost,"Gregoratto, Stephen",2020-12-23,2020-12-23,"A posh Englishwoman is sent to a station in New South Wales to learn the ropes, while a search for a lost son with a large inheritance is underway."
El Dorado,"Orczy, Baroness",Fiction,Joseph-Marie Vien,"Portrait de Louis XVII, à la prison du temple","Rice, Vince",2020-12-15,2020-12-15,Two separate interests want to free the imprisoned Dauphin of France.
I Will Repay,"Orczy, Baroness",Fiction,Élisabeth Vigée Le Brun,Comtesse de la Châtre,"Rice, Vince",2020-12-05,2020-12-05,A young woman pursues revenge against the man who killed her brother in a duel years before.
Lord Tony’s Wife,"Orczy, Baroness",Fiction,Jean-Marc Nattier,Portrait of a Woman,"Rice, Vince",2020-12-31,2020-12-31,A young woman and her father are kidnapped by a man intent on revenge for his father’s death.
Pimpernel and Rosemary,"Orczy, Baroness",Fiction,Thomas Anshutz,A Rose,"Rice, Vince",2021-01-22,2021-01-22,A famous journalist is drawn into the intrigues of two Eastern European nations in the aftermath of World War I.
"Elusive Pimpernel, The","Orczy, Baroness",Fiction,Jean-Auguste-Dominique Ingres,Portrait of Monsieur Bertin,"Rice, Vince",2020-12-08,2020-12-08,A French official schemes to finally catch the Scarlet Pimpernel.
"First Sir Percy, The","Orczy, Baroness",Fiction,Frans Hals,Portrait of a Man,"Rice, Vince",2021-01-08,2021-01-08,A man and his followers try again to overthrow the Stadtholder of the Netherlands.
"Laughing Cavalier, The","Orczy, Baroness",Fiction,Frans Hals,The Laughing Cavalier,"Rice, Vince",2020-12-21,2020-12-21,An ancestor of the Scarlet Pimpernel is recruited to kidnap a woman for a few days.
"League of the Scarlet Pimpernel, The","Orczy, Baroness",Shorts,Hubert Robert,Le Ravitaillement des prisonniers à la prison de Saint-Lazare,"Rice, Vince",2021-01-14,2021-01-14,A collection of short stories featuring the Scarlet Pimpernel.
"Scarlet Pimpernel, The","Orczy, Baroness",Fiction,Martin Archer Shee,Sir Lewis as the Marquis in The Midnight Hour,"Hall, Evan",2018-12-13,2018-12-13,A daring Englishman with a secret identity rescues French aristocrats from the guillotine during the French Revolution.
"Triumph of the Scarlet Pimpernel, The","Orczy, Baroness",Fiction,François Gérard,Portrait de Theresia Cabarrus,"Rice, Vince",2021-01-17,2021-01-17,A woman is kidnapped in order to trap her husband.
"Alchemist, The","Jonson, Ben",Drama,Frans Hals,Merrymakers at Shrovetide,"Keith, B. Timothy",2019-04-12,2019-04-12,A rollicking Elizabethan comedy in which two con men and their female compatriot gull a series of unfortunate victims out of their money.
Sybil,"Disraeli, Benjamin",Fiction,Thomas Faed,When the Day Is Done,"Grigg, David",2018-09-07,2018-09-07,"A young nobleman is moved by the condition of the poor in England, and falls in love with a labourer’s daughter."
"Autobiography of Benjamin Franklin, The","Franklin, Benjamin",Nonfiction,David Martin,Portrait of Benjamin Franklin,"Cabal, Alex",2016-12-11,2016-12-11,"Benjamin Franklin writes about his youth, adventures, and achievements."
"Problems of Philosophy, The","Russell, Bertrand",Philosophy,Floris Claesz. van Dijck,Still Life with Cheese,"Zade, Akshay",2019-07-16,2019-07-16,A beginner’s guide to problems in various fields of philosophy.
"Autobiography of Ma-Ka-Tai-Me-She-Kia-Kiak, or Black Hawk, The",Black Hawk,Autobiography,George Catlin,"Ma-Ka-Tai-Me-She-Kia-Kiak, Black Hawk, Prominent Sac Chief","Cabal, Alex",2021-07-29,2021-07-29,"The autobiography of Black Hawk, the famous leader of the Native American Sauk tribe and central figure in the Black Hawk War of 1832."
Up from Slavery,"Washington, Booker T.",Nonfiction,William Sydney Mount,The Power of Music,"Bennett, Mike",2019-09-26,2019-09-26,"The autobiography of Booker T. Washington, former slave and founder of the Tuskegee Institute."
Alice Adams,"Tarkington, Booth",Fiction,Édouard Manet,House at Rueil,"Cabal, Alex",2017-09-21,2017-09-21,A young Midwestern woman tries to climb the social ladder despite her lower-middle-class upbringing.
National Avenue,"Tarkington, Booth",Fiction,Colin Campbell Cooper,Broad Street Canyon,"Cabal, Alex",2021-01-06,2021-01-06,A businessman struggles to bring the modernity of the suburban industrial age to a Midwestern town.
"Magnificent Ambersons, The","Tarkington, Booth",Fiction,Eastman Johnson,The Hatch Family,"Cabal, Alex",2017-06-15,2017-06-15,The scion of an old-money Midwestern family must cope with their waning fortunes and the changes brought on by industry and the automobile age.
"Turmoil, The","Tarkington, Booth",Fiction,Colin Campbell Cooper,"Randolph Street, Chicago","Cabal, Alex",2020-10-04,2020-10-04,A dreamy and sensitive scion of a Midwestern businessman comes to terms with his legacy in a growing city.
Dracula,"Stoker, Bram",Horror,Joseph Magnus Stäck,Italian Landscape of Ruins in the Moonlight,"Cabal, Alex",2014-05-25,2014-05-25,An ancient undead monster terrorizes Victorian London.
"Lost Continent, The","Hyne, C. J. Cutcliffe",Fantasy,Maxime Maufra,Moonlight in the Bay of Douarnenez,"Cabal, Alex",2017-02-06,2017-02-06,A swashbuckling adventure on the fabled continent of Atlantis.
Omega,"Flammarion, Camille",Science Fiction,James Ward,Gordale Scar,"Grigg, David",2018-09-10,2018-09-10,"A comet threatens to collide with the Earth, perhaps bringing about the end of the world."
Stand by for Mars!,"Rockwell, Carey",Science Fiction,Arkhip Kuindzhi,Red Sunset on the Dnieper,"Keith, B. Timothy",2019-01-24,2019-01-24,Young Tom Corbett finally realizes his dream of becoming a Space Cadet but soon he and his classmates find themselves fighting to stay alive in the harsh Martian desert.
"Adventures of Pinocchio, The","Collodi, Carlo",Childrens,Gyula Benczúr,Little Girl with a Doll,"Angel, David",2021-01-03,2021-01-03,A wooden puppet comes to life and goes on adventures.
Passages from the Life of a Philosopher,"Babbage, Charles",Autobiography,Samuel Laurence,"Charles Babbage, F.R.S.","Whittleton, Robin",2019-07-20,2019-07-20,"The eminent Victorian scientist and mathematician on his inventions, dreams and adventures."
"Origin of Species, The","Darwin, Charles",Nonfiction,Edwin Landseer,The Sick Monkey,"Grigg, David",2019-01-15,2019-01-15,A distinguished amateur scientist lays out the evidence for the origin of species by means of natural selection.
"Christmas Carol, A","Dickens, Charles",Fiction,Eastman Johnson,The New Bonnet,"Atkinson, Michael",2018-04-14,2018-04-14,A miserly moneylender is visited by four ghosts who help him see how to honor Christmas in his heart all year round.
"Tale of Two Cities, A","Dickens, Charles",Fiction,Félix-Joseph Barrias,Camille Desmoulins au Palais-Royal,"Rice, Vince",2019-08-14,2019-08-14,"A family is reunited, added to, and then threatened to be torn apart by events arising from the French Revolution."
Bleak House,"Dickens, Charles",Fiction,Thomas Eakins,The Writing Master,"Grigg, David",2017-11-05,2017-11-05,"A young woman of uncertain parentage is taken in by a kindly guardian, while her fate and that of two other young people hinge on the outcome of an interminable legal case."
David Copperfield,"Dickens, Charles",Fiction,Carl Spitzweg,The Writer,"Cabal, Alex",2015-05-19,2015-05-19,The semi-autobiographical tale of a young boy who rises up to become a successful novelist.
Great Expectations,"Dickens, Charles",Fiction,Joseph Paelinck,Self-Portrait,"Klappenbach, Laura",2019-12-23,2019-12-23,"An orphan boy living in Victorian England begins his life in extreme poverty and goes on to experience good fortune, love, rejection, wealth, and social challenges as he grows into adulthood."
Hard Times,"Dickens, Charles",Fiction,Constantin Meunier,Black Country,"Grigg, David",2018-10-02,2018-10-02,"A wealthy man in the industrial north of England raises his children on purely rational principles, with unfortunate results."
Little Dorrit,"Dickens, Charles",Fiction,Samuel Luke Fildes,Applicants for Admission to a Casual Ward,"Grigg, David",2021-08-22,2021-08-22,"After returning home from a long period spent working in China, a man tries to assist a family forced to live in a debtor’s prison."
Oliver Twist,"Dickens, Charles",Fiction,Dorothy Stanley,His First Offence,"Grigg, David",2020-03-01,2020-03-01,"A poor boy, born and raised in a workhouse in Victorian England, falls into the control of a gang of heartless criminals."
