Title,Author,SE subject,Artist,Painting,Producer,Pub date,Rev date,Description
"Pit-Prop Syndicate, The","Crofts, Freeman Wills",Fiction,Georges Seurat,View of the Seine,"Whittleton, Robin",2017-10-25,2017-10-25,"A British wine merchant on business in France stumbles across a syndicate with something to hide, and resolves to discover their secret."
Beyond Good and Evil,"Nietzsche, Friedrich",Philosophy,Hieronymus Bosch,The Garden of Earthly Delights,"Cabal, Alex",2014-05-25,2014-05-25,Nietzsche’s philosophical treatise on the ambiguity of traditional morality.
Thus Spake Zarathustra,"Nietzsche, Friedrich",Philosophy,Albert Bierstadt,Sunrise on the Matterhorn,"Grandjean, François",2021-07-10,2021-07-10,"After ten years spent in solitude, Zarathustra goes back amongst men to share his accumulated wisdom and prepare humanity for the Overman."
Short Fiction,"Leiber, Fritz",Shorts,Maurice Denis,Ocean Coast,"Kloba, David",2020-08-14,2020-08-14,A collection of Fritz Leiber short stories and novellas ordered by date of publication.
"Big Time, The","Leiber, Fritz",Science Fiction,Mikalojus Konstantinas Čiurlionis,Creation of the World⁠—V,"Cabal, Alex",2015-11-04,2015-11-04,A motley collection of servicemembers escape a plot as two mysterious factions wage an epic war across time itself.
Crime and Punishment,"Dostoevsky, Fyodor",Fiction,Edvard Munch,Self-Portrait with Burning Cigarette,"Whittleton, Robin",2017-08-26,2017-08-26,"Inflated by his own ambition, Raskolnikov murders a pawnbroker then faces the inevitable consequences."
Notes from Underground,"Dostoevsky, Fyodor",Fiction,Gustave Courbet,Alphonse Promayet,"Matvejev, Hendrik",2019-02-12,2019-02-12,A man living alone in St. Petersburg writes memoirs describing his alienation from modern society.
Poor Folk,"Dostoevsky, Fyodor",Fiction,Nikolai Yaroshenko,Life Is Everywhere,"Whittleton, Robin",2020-07-16,2020-07-16,"Two poor Russian people exchange letters of love, hope and fear."
"Brothers Karamazov, The","Dostoevsky, Fyodor",Fiction,Francisco de Zurbarán,Saint Francis in Meditation,"Whittleton, Robin",2019-02-05,2019-02-05,A dispute over inheritance between father and son escalates into a family feud.
"Gambler, The","Dostoevsky, Fyodor",Fiction,Edvard Munch,Gamblers in Monte Carlo,"Whittleton, Robin",2020-07-01,2020-07-01,A Russian tutor deals with the outcomes of the allure of roulette.
Short Fiction,"Sologub, Fyodor",Shorts,Edvard Munch,The Storm,"Whittleton, Robin",2019-11-17,2019-11-17,"A collection of Fyodor Sologub’s translated short stories, ordered by date of the publication of their translation."
"Created Legend, The","Sologub, Fyodor",Fiction,August Strindberg,Wonderland,"Whittleton, Robin",2018-12-27,2018-12-27,In a provincial town a Russian poet draws himself away from society to create his utopia.
"Little Demon, The","Sologub, Fyodor",Fiction,Eilif Peterssen,The Poet Arne Garborg,"Whittleton, Robin",2018-09-04,2018-09-04,A banal and paranoid school teacher falls slowly into madness.
Heretics,"Chesterton, G. K.",Spirituality,John F. Francis,"Wine, Cheese, and Fruit","Disney, Justin",2021-02-10,2021-02-10,A collection of essays in which G. K. Chesterton debates the intellectuals of his day on a range of topics.
Orthodoxy,"Chesterton, G. K.",Spirituality,El Greco,Christ Healing the Blind,"Disney, Justin",2021-04-26,2021-04-26,G. K. Chesterton’s unique view on Christianity and how all his “solitary and sincere speculations” were ultimately answered by its theology.
"Club of Queer Trades, The","Chesterton, G. K.",Fiction,Henri Fantin-Latour,Édouard Manet,"Whittleton, Robin",2019-03-16,2019-03-16,"Two friends, solving a perceived crime, stumble upon a club for people who have invented their own method of employment."
